CATEGORY,ROLE,SCALE POINT,RATE
presidential,president,1,"€240,716"
presidential,vicePresident,1,"€184,171"
academic,fullProfessor,1,"€140,068 "
academic,fullProfessor,2,"€148,055 "
academic,fullProfessor,3,"€156,042 "
academic,fullProfessor,4,"€164,028 "
academic,fullProfessor,5,"€172,016 "
academic,fullProfessor,6,"€177,078 "
academic,professorFormerlyAssociateProfessor,1,"€101,447 "
academic,professorFormerlyAssociateProfessor,2,"€108,276 "
academic,professorFormerlyAssociateProfessor,3,"€115,107 "
academic,professorFormerlyAssociateProfessor,4,"€121,935 "
academic,professorFormerlyAssociateProfessor,5,"€128,770 "
academic,professorFormerlyAssociateProfessor,6,"€135,598 "
academic,associateProfessorAFormerlySeniorLecturer,1,"€87,548 "
academic,associateProfessorAFormerlySeniorLecturer,2,"€91,018 "
academic,associateProfessorAFormerlySeniorLecturer,3,"€94,492 "
academic,associateProfessorAFormerlySeniorLecturer,4,"€97,988 "
academic,associateProfessorAFormerlySeniorLecturer,5,"€101,461 "
academic,associateProfessorAFormerlySeniorLecturer,6,"€104,948 "
academic,associateProfessorAFormerlySeniorLecturer,7,"€108,430 "
academic,associateProfessorAFormerlySeniorLecturer,8,"€111,916 "
academic,associateProfessorAFormerlySeniorLecturer,9,"€115,395 "
academic,associateProfessorBFormerlyLecturer,1,"€62,069 "
academic,associateProfessorBFormerlyLecturer,2,"€73,093 "
academic,associateProfessorBFormerlyLecturer,3,"€77,006 "
academic,associateProfessorBFormerlyLecturer,4,"€79,703 "
academic,associateProfessorBFormerlyLecturer,5,"€83,634 "
academic,associateProfessorBFormerlyLecturer,6,"€87,604 "
academic,associateProfessorBFormerlyLecturer,7,"€91,563 "
academic,associateProfessorBFormerlyLecturer,8,"€95,514 "
academic,associateProfessorBFormerlyLecturer,9,"€99,471 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,1,"€46,955 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,2,"€49,543 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,3,"€51,676 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,4,"€53,644 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,5,"€55,689 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,6,"€57,323 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,7,"€58,990 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,8,"€60,654 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,9,"€62,314 "
academic,assistantProfessorFormerlyLecturerBelowTheBar,10,"€63,965 "
academic,teachingAssistant,1,"€37,010 "
academic,teachingAssistant,2,"€40,061 "
administrative,seniorAdministrativeOfficer3,1,"€106,800 "
administrative,seniorAdministrativeOfficer3,2,"€113,990 "
administrative,seniorAdministrativeOfficer3,3,"€121,181 "
administrative,seniorAdministrativeOfficer3,4,"€128,369 "
administrative,seniorAdministrativeOfficer3,5,"€135,565 "
administrative,seniorAdministrativeOfficer3,6,"€142,758 "
administrative,seniorAdministrativeOfficer2,1,"€94,941 "
administrative,seniorAdministrativeOfficer2,2,"€98,703 "
administrative,seniorAdministrativeOfficer2,3,"€102,487 "
administrative,seniorAdministrativeOfficer2,4,"€106,270 "
administrative,seniorAdministrativeOfficer2,5,"€110,030 "
administrative,seniorAdministrativeOfficer2,6,"€113,810 "
administrative,seniorAdministrativeOfficer2,7,"€117,589 "
administrative,seniorAdministrativeOfficer2,8,"€121,368 "
administrative,seniorAdministrativeOfficer2,9,"€125,140 "
administrative,seniorAdministrativeOfficer1,1,"€67,132 "
administrative,seniorAdministrativeOfficer1,2,"€69,712 "
administrative,seniorAdministrativeOfficer1,3,"€72,480 "
administrative,seniorAdministrativeOfficer1,4,"€75,725 "
administrative,seniorAdministrativeOfficer1,5,"€79,088 "
administrative,seniorAdministrativeOfficer1,6,"€82,103 "
administrative,seniorAdministrativeOfficer1,7,"€86,389 "
administrative,seniorAdministrativeOfficer1,8,"€90,697 "
administrative,seniorAdministrativeOfficer1,9,"€95,004 "
administrative,seniorAdministrativeOfficer1,10,"€99,296 "
administrative,seniorAdministrativeOfficer1,11,"€103,583 "
administrative,seniorAdministrativeOfficer1,12,"€107,875 "
administrative,seniorAdministrativeAdministrator,1,"€58,657 "
administrative,seniorAdministrativeAdministrator,2,"€60,174 "
administrative,seniorAdministrativeAdministrator,3,"€61,704 "
administrative,seniorAdministrativeAdministrator,4,"€63,240 "
administrative,seniorAdministrativeAdministrator,5,"€64,776 "
administrative,seniorAdministrativeAdministrator,6,"€66,317 "
administrative,seniorAdministrativeAdministrator,7,"€68,510 "
administrative,seniorAdministrativeAdministrator,8,"€72,779 "
administrative,seniorAdministrativeAdministrator,9,"€77,291 "
administrative,seniorAdministrativeAdministrator,10,"€79,691 "
administrative,seniorAdministrativeAdministrator,11,"€83,397 "
administrative,executiveAdministrator,1,"€44,752 "
administrative,executiveAdministrator,2,"€47,050 "
administrative,executiveAdministrator,3,"€49,360 "
administrative,executiveAdministrator,4,"€51,268 "
administrative,executiveAdministrator,5,"€53,218 "
administrative,executiveAdministrator,6,"€55,306 "
administrative,executiveAdministrator,7,"€57,462 "
administrative,executiveAdministrator,8,"€59,557 "
administrative,executiveAdministrator,9,"€61,263 "
administrative,executiveAdministrator,10,"€62,840 "
administrative,executiveAdministrator,11,"€64,409 "
administrative,seniorAdministrator,1,"€39,893 "
administrative,seniorAdministrator,2,"€40,785 "
administrative,seniorAdministrator,3,"€42,037 "
administrative,seniorAdministrator,4,"€43,282 "
administrative,seniorAdministrator,5,"€44,546 "
administrative,seniorAdministrator,6,"€45,799 "
administrative,seniorAdministrator,7,"€47,069 "
administrative,seniorAdministrator,8,"€48,336 "
administrative,seniorAdministrator,9,"€49,613 "
administrative,seniorAdministrator,10,"€50,660 "
administrative,seniorAdministrator,11,"€51,944 "
administrative,seniorAdministrator,12,"€53,265 "
administrative,administrator,1,"€26,572 "
administrative,administrator,2,"€27,495 "
administrative,administrator,3,"€28,629 "
administrative,administrator,4,"€29,397 "
administrative,administrator,5,"€30,060 "
administrative,administrator,6,"€30,830 "
administrative,administrator,7,"€31,616 "
administrative,administrator,8,"€32,491 "
administrative,administrator,9,"€33,224 "
administrative,administrator,10,"€34,378 "
administrative,administrator,11,"€35,541 "
administrative,administrator,12,"€36,715 "
administrative,administrator,13,"€37,403 "
administrative,administrator,14,"€38,396 "
administrative,administrator,15,"€39,212 "
administrative,administrator,16,"€39,926 "
administrative,administrator,17,"€40,912 "
administrative,administrator,18,"€41,892 "
education, epsPortfolioManager,1,"€86,389 "
education, epsPortfolioManager,2,"€90,698 "
education, epsPortfolioManager,3,"€95,005 "
education, epsPortfolioManager,4,"€99,296 "
education, epsPortfolioManager,5,"€103,583 "
education, epsPortfolioManager,6,"€107,874 "
education,epsCategoryManager,1,"€67,131 "
education,epsCategoryManager,2,"€69,712 "
education,epsCategoryManager,3,"€72,480 "
education,epsCategoryManager,4,"€75,725 "
education,epsCategoryManager,5,"€79,087 "
education,epsCategoryManager,6,"€82,103 "
education,epsCategoryManager,7,"€86,389 "
education,epsCategoryManager,8,"€90,698 "
education,epsCategorySpecialistHigher,1,"€58,656 "
education,epsCategorySpecialistHigher,2,"€60,174 "
education,epsCategorySpecialistHigher,3,"€61,704 "
education,epsCategorySpecialistHigher,4,"€63,240 "
education,epsCategorySpecialistHigher,5,"€64,775 "
education,epsCategorySpecialistHigher,6,"€66,318 "
education,epsCategorySpecialistHigher,7,"€68,510 "
education,epsCategorySpecialistHigher,8,"€72,779 "
education,epsCategorySpecialist,1,"€44,752 "
education,epsCategorySpecialist,2,"€47,047 "
education,epsCategorySpecialist,3,"€49,360 "
education,epsCategorySpecialist,4,"€51,269 "
education,epsCategorySpecialist,5,"€53,219 "
education,epsCategorySpecialist,6,"€55,306 "
education,epsCategorySpecialist,7,"€57,462 "
education,epsCategorySpecialist,8,"€59,558 "
library,subLibrarian,1,"€64,830 "
library,subLibrarian,2,"€68,413 "
library,subLibrarian,3,"€71,505 "
library,subLibrarian,4,"€74,734 "
library,subLibrarian,5,"€77,824 "
library,subLibrarian,6,"€80,106 "
library,subLibrarian,7,"€83,065 "
library,subLibrarian,8,"€86,613 "
library,subLibrarian,9,"€90,308 "
library,subLibrarian,10,"€93,715 "
library,subLibrarian,11,"€97,127 "
library,subLibrarian,12,"€100,531 "
library,subLibrarian,13,"€102,234 "
library,subLibrarian,14,"€104,052 "
library,subLibrarian,15,"€106,850 "
library,assistantLibrarian2,1,"€58,657 "
library,assistantLibrarian2,2,"€60,174 "
library,assistantLibrarian2,3,"€61,704 "
library,assistantLibrarian2,4,"€63,240 "
library,assistantLibrarian2,5,"€64,776 "
library,assistantLibrarian2,6,"€66,317 "
library,assistantLibrarian2,7,"€68,510 "
library,assistantLibrarian2,8,"€72,779 "
library,assistantLibrarian2,9,"€77,291 "
library,assistantLibrarian2,10,"€79,691 "
library,assistantLibrarian2,11,"€83,397 "
library,assistantLibrarian1,1,"€44,751 "
library,assistantLibrarian1,2,"€47,050 "
library,assistantLibrarian1,3,"€49,364 "
library,assistantLibrarian1,4,"€51,269 "
library,assistantLibrarian1,5,"€53,605 "
library,assistantLibrarian1,6,"€55,126 "
library,assistantLibrarian1,7,"€56,632 "
library,assistantLibrarian1,8,"€57,745 "
library,assistantLibrarian1,9,"€59,104 "
library,assistantLibrarian1,10,"€60,468 "
library,assistantLibrarian1,11,"€61,415 "
library,assistantLibrarian1,12,"€62,371 "
library,assistantLibrarian1,13,"€64,409 "
library,assistantLibrarian1,14,"€66,805 "
library,assistantLibrarian1,15,"€69,293 "
library,seniorLibraryAssistant,1,"€39,337 "
